,Pick,Team,Name,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year,Height,Weight,Birthday,Position1,Position2,Position3,All_Star_apps,All_NBA_apps,All_Def_apps,HOF
334,12,WSB,Muggsy Bogues,Wake Forest,14,889,25429,6858,2318,6726,.458,.278,.827,28.6,7.7,2.6,7.6,54.0,.102,0.8,17.9,1987,160cm,61kg,1965-01-09,Point Guard,Point Guard,Point Guard,0,0,0,0
335,13,LAC,Joe Wolf,UNC,11,592,9636,2485,1933,596,.423,.164,.770,16.3,4.2,3.3,1.0,3.5,.017,-4.8,-6.7,1987,211cm,104kg,1964-12-17,Center,Power Forward,Center,0,0,0,0
336,14,GSW,Tellis Frank,Western Kentucky,5,264,4703,1710,1022,276,.439,.000,.741,17.8,6.5,3.9,1.0,4.0,.041,-4.1,-2.5,1987,208cm,102kg,1965-04-26,Power Forward,Power Forward,Power Forward,0,0,0,0
337,15,UTA,José Ortiz,Oregon State,2,64,391,183,73,18,.443,.333,.596,6.1,2.9,1.1,0.3,0.0,.002,-6.4,-0.4,1987,208cm,102kg,1963-10-25,Power Forward,Power Forward,Power Forward,0,0,0,0
338,16,PHI,Chris Welp,Washington,3,109,1173,359,265,43,.446,.000,.681,10.8,3.3,2.4,0.4,1.0,.042,-5.0,-0.9,1987,213cm,111kg,1964-01-02,Center,Center,Center,0,0,0,0
339,17,POR,Ronnie Murphy,Jacksonville University,1,18,89,36,11,6,.286,.250,.636,4.9,2.0,0.6,0.3,-0.2,-.130,-11.5,-0.2,1987,196cm,102kg,1964-07-29,Small Forward,Small Forward,Small Forward,0,0,0,0
340,18,NYK,Mark Jackson,St. John's,17,1296,39121,12489,4963,10334,.447,.332,.770,30.2,9.6,3.8,8.0,91.8,.113,1.8,37.5,1987,185cm,81kg,1965-04-01,Point Guard,Point Guard,Point Guard,1,0,0,0
341,19,LAC,Ken Norman,Illinois,10,646,18992,8717,3949,1355,.486,.312,.567,29.4,13.5,6.1,2.1,27.1,.069,-1.0,4.9,1987,203cm,97kg,1964-09-05,Small Forward,Small Forward,Small Forward,0,0,0,0
342,20,DAL,Jim Farmer,Alabama,5,136,1454,715,186,111,.428,.282,.730,10.7,5.3,1.4,0.8,0.7,.024,-4.3,-0.8,1987,193cm,86kg,1964-09-23,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
343,21,ATL,Dallas Comegys,DePaul,2,142,2241,856,452,95,.457,.000,.682,15.8,6.0,3.2,0.7,1.1,.024,-3.6,-0.9,1987,206cm,92kg,1964-08-17,Power Forward,Power Forward,Power Forward,0,0,0,0
344,22,BOS,Reggie Lewis,Northeastern University,6,450,14676,7902,1938,1153,.488,.200,.824,32.6,17.6,4.3,2.6,38.9,.127,1.4,12.5,1987,201cm,88kg,1965-11-21,Small Forward,Shooting Guard,Small Forward,1,0,0,0
345,24,DET,Fred Banks,UNLV,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
346,25,NYK,Ron Moore,West Virginia State University,1,14,59,24,8,1,.310,,.750,4.2,1.7,0.6,0.1,-0.1,-.074,-12.5,-0.2,1987,213cm,117kg,1962-01-16,Center,Center,Center,0,0,0,0
347,26,DAL,Steve Alford,Indiana,4,169,1641,744,144,176,.459,.324,.870,9.7,4.4,0.9,1.0,3.2,.093,-1.0,0.4,1987,188cm,83kg,1964-11-23,Point Guard,Point Guard,Point Guard,0,0,0,0
348,27,SAS,Nate Blackwell,Temple,1,10,112,37,6,18,.366,.182,.833,11.2,3.7,0.6,1.8,-0.1,-.045,-7.2,-0.1,1987,193cm,77kg,1965-02-15,Point Guard,Point Guard,Point Guard,0,0,0,0
349,28,CHI,Rickie Winslow,Houston,1,7,45,7,7,2,.231,.000,.500,6.4,1.0,1.0,0.3,-0.2,-.165,-14.8,-0.1,1987,203cm,102kg,1964-07-26,Small Forward,Small Forward,Small Forward,0,0,0,0
350,29,POR,Lester Fonville,Jackson State University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
351,30,POR,Nikita Wilson,LSU,1,15,54,19,11,3,.304,,.833,3.6,1.3,0.7,0.2,-0.1,-.099,-11.3,-0.1,1987,203cm,90kg,1964-02-25,Small Forward,Small Forward,Small Forward,0,0,0,0
352,31,DEN,Andre Moore,Loyola Chicago,1,10,50,24,14,6,.333,,.750,5.0,2.4,1.4,0.6,0.0,-.013,-6.0,-0.1,1987,206cm,97kg,1964-07-02,Power Forward,Small Forward,Power Forward,0,0,0,0
353,32,MIL,Bob McCann,Morehead State University,5,178,2385,739,468,104,.479,.200,.577,13.4,4.2,2.6,0.6,2.0,.041,-3.8,-1.1,1987,198cm,110kg,1964-04-22,Power Forward,Small Forward,Power Forward,0,0,0,0
354,33,CHI,Tony White,Tennessee,1,49,581,261,31,59,.446,.000,.722,11.9,5.3,0.6,1.2,-0.3,-.025,-5.4,-0.5,1987,188cm,77kg,1965-02-15,Point Guard,Point Guard,Point Guard,0,0,0,0
355,34,IND,Brian Rowsom,UNC Wilmington,3,82,1092,457,273,47,.455,.667,.818,13.3,5.6,3.3,0.6,2.4,.107,-1.6,0.1,1987,206cm,99kg,1965-10-23,Power Forward,Power Forward,Power Forward,0,0,0,0
356,35,HOU,Doug Lee,Purdue,3,73,415,168,42,32,.412,.310,.700,5.7,2.3,0.6,0.4,0.7,.086,-2.4,0.0,1987,196cm,90kg,1964-10-24,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
357,36,WSB,Duane Washington,Middle Tennessee,2,19,184,54,24,39,.383,.500,.800,9.7,2.8,1.3,2.1,0.4,.092,0.4,0.1,1987,193cm,88kg,1964-08-31,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
358,37,WSB,Derrick Dowell,USC,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
359,38,LAC,Norris Coleman,Kansas State,1,29,431,153,81,13,.346,.500,.556,14.9,5.3,2.8,0.4,-0.4,-.046,-7.1,-0.6,1987,203cm,95kg,1961-09-27,Small Forward,Small Forward,Small Forward,0,0,0,0
360,39,PHI,Vincent Askew,Memphis,9,467,9361,3311,1176,1017,.479,.300,.754,20.0,7.1,2.5,2.2,22.1,.113,0.0,4.7,1987,198cm,95kg,1966-02-28,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
361,40,MIL,Winston Garland,Missouri State University,7,511,13391,4799,1433,2421,.430,.281,.830,26.2,9.4,2.8,4.7,14.2,.051,-1.6,1.3,1987,188cm,77kg,1964-12-19,Point Guard,Point Guard,Point Guard,0,0,0,0
362,41,CLE,Kannard Johnson,Western Kentucky,1,4,12,2,0,0,.333,,,3.0,0.5,0.0,0.0,-0.1,-.238,-9.7,0.0,1987,206cm,99kg,1965-06-24,Small Forward,Small Forward,Small Forward,0,0,0,0
363,42,ATL,Terence Bailey,Wagner College,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
364,43,PHI,Andrew Kennedy,Virginia,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
365,44,ATL,Terry Coner,Alabama,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
366,45,BOS,Brad Lohaus,Iowa,11,656,10378,3854,1869,714,.440,.361,.733,15.8,5.9,2.8,1.1,15.2,.070,-0.7,3.5,1987,211cm,104kg,1964-09-29,Power Forward,Power Forward,Power Forward,0,0,0,0
367,46,PHO,Bruce Dalrymple,Georgia Tech,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
368,47,LAC,Tim McCalister,Oklahoma,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
369,48,NJN,Jamie Waller,Virginia Union University,1,9,91,42,13,3,.400,.000,.556,10.1,4.7,1.4,0.3,-0.2,-.097,-7.1,-0.1,1987,193cm,97kg,1964-11-20,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
370,49,NYK,Jerome Batiste,McNeese State University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
371,50,SAS,Phil Zevenbergen,Washington,1,8,58,30,13,3,.556,,.000,7.3,3.8,1.6,0.4,0.0,.041,-2.4,0.0,1987,208cm,104kg,1964-04-13,Center,Center,Center,0,0,0,0
372,51,SAC,Sven Myer,Oregon,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
373,52,CLE,Donald Royal,Notre Dame,8,504,8442,3161,1431,500,.473,.000,.770,16.8,6.3,2.8,1.0,19.1,.109,-1.6,0.9,1987,203cm,95kg,1966-05-22,Small Forward,Small Forward,Small Forward,0,0,0,0
374,53,PHO,Winston Crite,Texas A&M,2,31,264,87,65,15,.479,,.760,8.5,2.8,2.1,0.5,0.1,.012,-5.5,-0.2,1987,201cm,105kg,1965-06-20,Small Forward,Small Forward,Small Forward,0,0,0,0
375,54,DEN,Tom Schafer,Iowa State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
376,55,SEA,Tommy Amaker,Duke,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
377,56,CHI,John Fox,Millersville,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
378,57,PHI,Hansi Gnad,University of Alaska Anchorage,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
379,58,GSW,Darryl Johnson,Michigan State,1,11,28,12,2,1,.417,.000,1.000,2.5,1.1,0.2,0.1,0.0,.010,-8.4,0.0,1987,185cm,77kg,1965-10-26,Point Guard,Point Guard,Point Guard,0,0,0,0
380,59,WSB,Danny Pearson,Jacksonville University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
381,60,IND,Sean Couch,Columbia University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
382,61,UTA,Clarence Martin,Western Kentucky,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
383,62,PHI,Eric Riggins,Rutgers University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
384,63,POR,Kevin Gamble,Iowa,10,649,14508,6154,1457,1300,.502,.360,.810,22.4,9.5,2.2,2.0,33.3,.110,0.2,8.1,1987,196cm,95kg,1965-11-13,Small Forward,Small Forward,Small Forward,0,0,0,0
385,64,MIL,J. J. Weber,Wisconsin,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
386,65,DET,Eric White,Pepperdine,2,55,788,336,132,26,.525,1.000,.798,14.3,6.1,2.4,0.5,1.3,.079,-3.1,-0.2,1987,203cm,90kg,1965-12-30,Small Forward,Small Forward,Small Forward,0,0,0,0
387,66,DAL,Mike Richmond,Texas-El Paso,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
388,67,ATL,Song Tao,,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
389,68,UTA,Billy Donovan,Providence,1,44,364,105,25,87,.404,.000,.810,8.3,2.4,0.6,2.0,-0.1,-.009,-3.7,-0.2,1987,180cm,77kg,1965-05-30,Point Guard,Point Guard,Point Guard,0,0,0,0
390,69,LAL,Willie Glass,St. John's,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
391,70,BOS,Tom Sheehey,Virginia,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
392,71,NYK,Mike Morgan,Drake University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
393,72,NJN,Andrew Moten,Florida,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
394,73,SAS,Todd May,Pikeville College,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
395,74,SAC,Joe Arlauckas,Niagara University,1,9,85,34,13,8,.326,,.750,9.4,3.8,1.4,0.9,-0.1,-.045,-6.8,-0.1,1987,206cm,104kg,1965-07-20,Small Forward,Small Forward,Small Forward,0,0,0,0
396,75,CLE,Chris Dudley,Yale,16,886,16321,3473,5457,375,.412,.000,.458,18.4,3.9,6.2,0.4,26.2,.077,-3.0,-4.2,1987,211cm,106kg,1965-02-22,Center,Power Forward,Center,0,0,0,0
397,76,PHO,Steve Beck,Arizona State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
398,77,DEN,David Boone,Marquette,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
399,78,SEA,Todd Linder,University of Tampa,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
400,79,CHI,Jack Haley,UCLA,9,341,3288,1180,922,82,.425,.000,.655,9.6,3.5,2.7,0.2,2.9,.042,-6.7,-3.9,1987,208cm,108kg,1964-01-27,Center,Power Forward,Center,0,0,0,0
401,80,CLE,Carven Holcomb,TCU,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
402,81,WSB,Scott Thompson,University of San Diego,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
403,82,HOU,Joe Niego,Lewis (IL),,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
404,83,GSW,Benny Bolton,NC State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
405,84,UTA,Reuben Holmes,Alabama State University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
406,85,PHI,Brian Rahilly,Tulsa,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
407,86,POR,Norwood Barber,Florida State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
408,87,MIL,Darryl Bedford,Austin Peay State University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
409,88,DET,Dave Popson,UNC,3,41,196,76,46,13,.405,.000,.750,4.8,1.9,1.1,0.3,-0.1,-.033,-7.7,-0.3,1987,208cm,99kg,1964-05-17,Power Forward,Power Forward,Power Forward,0,0,0,0
410,89,DAL,David Johnson,Oklahoma,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
411,90,ATL,Theofanis Christodoulou,,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
412,91,BOS,Darryl Kennedy,Oklahoma,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
413,92,LAL,Ralph Tally,Norfolk State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
414,93,LAC,Chad Kessler,Georgia,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
415,94,NJN,James Blackmon,Kentucky,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
416,95,NYK,Glenn Clem,Vanderbilt,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
417,96,SAS,Dennis Williams,Georgia,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
418,97,SAC,Vernon Carr,Michigan State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
419,98,CLE,Carl Lott,TCU,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
420,99,PHO,Brent Counts,University of the Pacific,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
421,100,DEN,Ron Grandison,New Orleans,4,105,872,254,163,58,.404,.167,.713,8.3,2.4,1.6,0.6,1.2,.064,-2.6,-0.1,1987,198cm,97kg,1964-07-09,Power Forward,Power Forward,Power Forward,0,0,0,0
422,101,SEA,Michael Tait,Clemson,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
423,102,CHI,Anthony Wilson,LSU,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
424,103,IND,Mike Milling,UNC Charlotte,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
425,104,HOU,Andre LaFleur,Northeastern University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
426,105,GSW,Terry Williams,SMU,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
427,106,WSB,Patrick Fairs,Texas,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
428,107,UTA,Bart Kofoed,University of Nebraska at Kearney,5,111,702,162,56,108,.387,.188,.614,6.3,1.5,0.5,1.0,0.0,.002,-5.1,-0.6,1987,193cm,95kg,1964-03-24,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
429,108,PHI,Frank Ross,American University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
430,109,POR,David Moss,Tulsa,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
431,110,MIL,Brian Vaughns,UC Santa Barbara,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
432,111,DET,Gerry Wright,Iowa,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
433,112,DAL,Sam Hill,Iowa State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
434,113,ATL,Jose Antonio Montero,,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
435,114,BOS,Dave Butler,California,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
436,115,LAL,Kenny Travis,New Mexico State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
437,116,LAC,Martin Nessley,Duke,1,44,336,48,82,16,.385,,.444,7.6,1.1,1.9,0.4,-0.1,-.014,-8.2,-0.5,1987,218cm,117kg,1965-02-16,Center,Center,Center,0,0,0,0
438,117,NYK,Howard Triche,Syracuse,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
439,118,NJN,Perry Bromwell,Penn,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
440,119,SAS,Ricky Brown,University of South Alabama,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
441,120,SAC,Darryl Thomas,Indiana,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
442,121,CLE,Harold Jensen,Villanova,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
443,122,PHO,Marcel Boyce,University of Akron,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
444,123,DEN,Kelvin Scarborough,New Mexico,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
445,124,SEA,Tom Gneiting,BYU,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
446,125,CHI,Doug Altenberger,Illinois,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
447,126,IND,Gary Graham,UNLV,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
448,127,GSW,Šarūnas Marčiulionis,,7,363,8123,4631,819,807,.505,.369,.768,22.4,12.8,2.3,2.2,20.0,.118,0.3,4.7,1987,196cm,90kg,1964-06-13,Small Forward,Shooting Guard,Small Forward,0,0,0,Hall of Fame
449,128,WSB,Dwayne Scholten,Washington State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
450,129,HOU,Fred Jenkins,Tennessee,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
451,130,UTA,Art Sabb,Bloomfield College,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
452,131,PHI,Tracy Foster,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
453,132,POR,Bernard Johnson,Loyola Chicago,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
454,133,MIL,Gay Elmore,Virginia Military Institute,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
455,134,DET,Antoine Joubert,Michigan,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
456,135,DAL,Quintan Gates,Texas-El Paso,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
457,136,ATL,Riccardo Morandotti,,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
458,137,BOS,Tim Naegeli,University of Wisconsin-Stevens Point,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
459,138,LAL,Frank Ford,Auburn,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
460,139,LAC,Henry Carr,Wichita State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
461,140,NJN,Frank Booker,Bowling Green,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
462,141,NYK,Wayne Williams,Saint Joseph's,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
463,142,SAS,Raynard Davis,Texas,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
464,143,SAC,Scott Adubato,Upsala College,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
465,144,CLE,Michael Foster,South Carolina,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
466,145,PHO,Roy Singleton,Grand Canyon University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
467,146,DEN,Rowan Gomes,Hampton,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
468,147,SEA,Mike Giomi,NC State,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
469,148,CHI,Earvin Leavy,Central Michigan University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
470,149,IND,Montel Hatcher,UCLA,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
471,150,WSB,Jamie Dixon,TCU,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
472,151,HOU,Clarence Grier,Campbell,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
473,152,GSW,Ronnie Leggette,West Virginia State University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
474,153,UTA,Keith Webster,Harvard University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
475,154,PHI,Eric Semisch,West Virginia,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
476,155,POR,Kenny Stone,George Fox University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
477,156,DEN,Curtis Hunter,UNC,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
478,157,DET,Mark Gottfried,Alabama,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
479,158,DAL,Gerald White,Auburn,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
480,159,ATL,Franjo Arapovic,,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
481,160,BOS,Jerry Corcoran,Northeastern University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
482,161,LAL,Ron Vanderschaaf,Central Washington University,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,
483,1,LAC,Danny Manning,Kansas,15,883,24202,12367,4615,2063,.511,.206,.729,27.4,14.0,5.2,2.3,55.1,.109,1.0,18.4,1988,208cm,104kg,1966-05-17,Power Forward,Power Forward,Power Forward,2,0,0,0
484,2,IND,Rik Smits,Marist College,12,867,23100,12871,5277,1215,.507,.115,.773,26.6,14.8,6.1,1.4,56.6,.118,-0.2,10.4,1988,224cm,113kg,1966-08-23,Center,Center,Center,1,0,0,0
485,3,PHI,Charles Smith,Pitt,9,564,16378,8107,3246,798,.475,.194,.774,29.0,14.4,5.8,1.4,40.9,.120,-0.1,8.1,1988,208cm,104kg,1965-07-16,Power Forward,Small Forward,Power Forward,0,0,0,0
486,4,NJN,Chris Morris,Auburn,11,747,18748,8184,3544,1182,.441,.306,.739,25.1,11.0,4.7,1.6,37.4,.096,0.9,13.7,1988,203cm,95kg,1966-01-20,Small Forward,Shooting Guard,Small Forward,0,0,0,0
487,5,GSW,Mitch Richmond,Kansas State,14,976,34309,20497,3801,3398,.455,.388,.850,35.2,21.0,3.9,3.5,79.3,.111,1.4,29.3,1988,196cm,97kg,1965-06-30,Shooting Guard,Shooting Guard,Shooting Guard,6,5,0,Hall of Fame
488,6,LAC,Hersey Hawkins,Bradley,13,983,32034,14470,3554,2860,.461,.394,.870,32.6,14.7,3.6,2.9,90.6,.136,2.0,32.6,1988,190cm,86kg,1966-09-29,Shooting Guard,Shooting Guard,Shooting Guard,1,0,0,0
489,7,PHO,Tim Perry,Temple,8,481,9436,3283,1911,436,.485,.318,.648,19.6,6.8,4.0,0.9,14.6,.074,-1.4,1.5,1988,206cm,90kg,1965-06-04,Center,Power Forward,Center,0,0,0,0
490,8,CHH,Rex Chapman,Kentucky,12,666,19542,9731,1645,1798,.430,.350,.800,29.3,14.6,2.5,2.7,24.7,.061,-1.0,5.2,1988,193cm,83kg,1967-10-05,Point Guard,Shooting Guard,Point Guard,0,0,0,0
491,9,MIA,Rony Seikaly,Syracuse,11,678,21395,9991,6424,860,.484,.188,.679,31.6,14.7,9.5,1.3,37.3,.084,-1.9,0.7,1988,211cm,104kg,1965-05-10,Center,Center,Center,0,0,0,0
492,10,SAS,Willie Anderson,Georgia,9,555,15974,6771,2082,2105,.471,.266,.786,28.8,12.2,3.8,3.8,27.9,.084,0.1,8.6,1988,201cm,86kg,1967-01-08,Small Forward,Shooting Guard,Small Forward,0,0,0,0
493,11,CHI,Will Perdue,Vanderbilt,13,792,12360,3740,3918,595,.515,.067,.577,15.6,4.7,4.9,0.8,26.6,.103,-2.0,-0.2,1988,213cm,108kg,1965-08-29,Center,Center,Center,0,0,0,0
494,12,WSB,Harvey Grant,Oklahoma,11,783,20510,7781,3436,1219,.469,.267,.709,26.2,9.9,4.4,1.6,36.4,.085,-0.9,5.7,1988,203cm,88kg,1965-07-04,Power Forward,Small Forward,Power Forward,0,0,0,0
495,13,MIL,Jeff Grayer,Iowa State,9,438,8277,3257,1294,635,.457,.255,.663,18.9,7.4,3.0,1.4,9.0,.052,-2.5,-1.1,1988,196cm,90kg,1965-12-17,Small Forward,Shooting Guard,Small Forward,0,0,0,0
496,14,PHO,Dan Majerle,Central Michigan University,14,955,30206,10925,4265,2755,.431,.358,.741,31.6,11.4,4.5,2.9,78.5,.125,1.9,29.6,1988,198cm,97kg,1965-09-09,Small Forward,Shooting Guard,Small Forward,3,0,2,0
497,15,SEA,Gary Grant,Michigan,13,552,12602,4368,1283,3013,.450,.278,.776,22.8,7.9,2.3,5.5,12.0,.046,-0.8,3.7,1988,190cm,83kg,1965-04-21,Point Guard,Point Guard,Point Guard,0,0,0,0
498,16,HOU,Derrick Chievous,Missouri,3,154,2240,1086,364,110,.443,.242,.755,14.5,7.1,2.4,0.7,2.7,.057,-3.2,-0.7,1988,201cm,88kg,1967-07-03,Small Forward,Small Forward,Small Forward,0,0,0,0
499,17,UTA,Eric Leckner,Wyoming,8,449,5448,1835,1418,211,.508,.000,.669,12.1,4.1,3.2,0.5,6.2,.054,-5.3,-4.6,1988,211cm,120kg,1966-05-27,Center,Center,Center,0,0,0,0
500,18,SAC,Ricky Berry,San Jose State,1,64,1406,706,197,80,.450,.406,.789,22.0,11.0,3.1,1.3,2.4,.083,-1.7,0.1,1988,203cm,92kg,1964-10-06,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
501,19,NYK,Rod Strickland,DePaul,17,1094,33634,14463,4084,7987,.454,.282,.721,30.7,13.2,3.7,7.3,85.8,.122,2.3,36.6,1988,190cm,79kg,1966-07-11,Point Guard,Shooting Guard,Point Guard,0,0,0,0
502,20,MIA,Kevin Edwards,DePaul,11,604,15332,6596,1653,1609,.423,.335,.803,25.4,10.9,2.7,2.7,12.5,.039,-1.1,3.3,1988,190cm,86kg,1965-10-30,Point Guard,Shooting Guard,Point Guard,0,0,0,0
503,21,POR,Mark Bryant,Seton Hall,15,797,13479,4313,2992,491,.500,.083,.697,16.9,5.4,3.8,0.6,26.1,.093,-3.2,-4.0,1988,206cm,111kg,1965-04-25,Center,Power Forward,Center,0,0,0,0
504,22,CLE,Randolph Keys,University of Southern Mississippi,5,241,3318,1262,551,192,.425,.272,.721,13.8,5.2,2.3,0.8,2.3,.034,-3.9,-1.6,1988,201cm,88kg,1966-04-19,Small Forward,Small Forward,Small Forward,0,0,0,0
505,23,DEN,Jerome Lane,Pitt,5,218,3215,1154,1258,322,.441,.063,.379,14.7,5.3,5.8,1.5,2.3,.034,-3.6,-1.3,1988,198cm,104kg,1966-12-04,Power Forward,Power Forward,Power Forward,0,0,0,0
506,24,BOS,Brian Shaw,UC Santa Barbara,14,943,21666,6547,3183,3918,.403,.304,.782,23.0,6.9,3.4,4.2,23.8,.053,-1.0,5.3,1988,198cm,86kg,1966-03-22,Point Guard,Shooting Guard,Point Guard,0,0,0,0
507,25,LAL,David Rivers,Notre Dame,3,114,1286,383,147,282,.398,.083,.794,11.3,3.4,1.3,2.5,-0.3,-.010,-4.0,-0.7,1988,183cm,77kg,1965-01-20,Point Guard,Point Guard,Point Guard,0,0,0,0
